symbol	Radiation/Enzalutamide	Radiation/Vehicle	Control/Enzalutamide	Control/Vehicle
BAMBI	934.697499490282	726.185619584855	1028.40551866447	893.416709979274
H2AC4	593.50190109945	469.727613125364	887.30126281595	781.873997672797
H2AC6	2348.63738093516	1985.26204008378	2966.93573128171	2500.54489496496
H4C2	2104.91289961012	1661.59650210546	2782.26368055348	2430.65941968287
H4C3	1052.80280283716	910.051851368969	1699.48088392347	1382.45244585404
H4C8	1221.56029944105	1040.05467985004	1843.61918530662	1643.59678470175
U2	809.059980001605	581.767042410066	997.859502717577	806.157073959379
